year,month,day,p,pet,q,max_temp,min_temp
1948,10,2,0,2.795,0.2077,29.7333,12.4111
1948,10,3,0,2.758,0.2045,28.8944,12.7167
1948,10,4,0,2.721,0.1982,27.5333,10.6389
1948,10,5,0.01,2.685,0.1982,26.2611,8.1611
1948,10,6,0,2.648,0.1951,26.8056,10.4111
1948,10,7,0.42,2.612,0.1951,26.5444,13.7222
1948,10,8,0,2.575,0.1951,25.9278,11.65
1948,10,9,0,2.539,0.1951,28.6167,7.5056
1948,10,10,11.98,2.503,0.1982,28.2611,10.0611
1948,10,11,0.88,2.467,0.2077,27.0222,17.0833
1948,10,12,0,2.431,0.2014,26.7778,14
1948,10,13,0.57,2.395,0.3681,28.2833,12.8333
1948,10,14,3.12,2.359,0.28,28.3389,14.2444
1948,10,15,0,2.324,0.2234,28.4278,15.2778
1948,10,16,2.32,2.289,0.2077,29.3778,15.35
1948,10,17,2.75,2.253,0.2108,29.2722,12.8944
1948,10,18,0,2.219,0.2045,21.1389,2.2
1948,10,19,0,2.184,0.1982,18.9444,-0.05
1948,10,20,0,2.15,0.1982,22.8,1.3778
1948,10,21,0,2.115,0.1982,25.6111,3.5944
1948,10,22,0,2.081,0.1951,26.7778,7.8111
1948,10,23,0,2.048,0.1951,26.8056,9.5611
1948,10,24,0,2.014,0.1919,24.9556,10.1611
1948,10,25,0,1.981,0.1919,23.0444,7.4167
1948,10,26,0,1.948,0.1919,24.3833,8.2944
1948,10,27,0,1.916,0.1919,25.5333,8.6111
1948,10,28,0,1.883,0.1919,26.9111,8.8056
1948,10,29,0.16,1.852,0.1919,27.5056,9.3889
1948,10,30,2.67,1.82,0.1919,27.8722,12.4778
1948,10,31,16.72,1.789,0.1982,28.0944,17.4722
1948,11,1,16.15,1.758,0.2265,27.2333,18.95
1948,11,2,0.1,1.727,0.2926,25.0722,17.6556
1948,11,3,0.01,1.697,0.2706,24.2,11.3222
1948,11,4,10.06,1.667,0.2643,27.3833,12.7944
1948,11,5,6.64,1.637,0.258,27.6389,14.4667
1948,11,6,0,1.608,0.2926,22.4278,6.0667
1948,11,7,0,1.58,0.2454,22,4.7944
1948,11,8,0.39,1.551,0.236,23.7111,5.0444
1948,11,9,3.97,1.523,0.2265,24.3333,9.0944
1948,11,10,0,1.496,0.2139,20.6944,1.5667
1948,11,11,0,1.469,0.2108,18.0167,-0.1
1948,11,12,0.03,1.442,0.2077,21.4611,2.3556
1948,11,13,0.9,1.416,0.2108,20.45,10.3778
1948,11,14,3.65,1.39,0.2077,17.3889,11.0833
1948,11,15,13.02,1.365,0.2139,22.2667,12.65
1948,11,16,27,1.34,0.2297,23.2944,14.6111
1948,11,17,0.38,1.316,0.9816,23.8222,16.3889
1948,11,18,41.47,1.292,1.9632,25.5278,16.0278
1948,11,19,0.64,1.269,2.4541,21.0833,9.3667
1948,11,20,1.01,1.246,4.1845,18.5056,2.3167
1948,11,21,25.44,1.223,3.2406,19.9611,6.9111
1948,11,22,36.42,1.201,8.8724,16.8833,10.7111
1948,11,23,0.94,1.18,7.3936,14.5222,7.3333
1948,11,24,0,1.159,3.0424,18,2.4444
1948,11,25,0.65,1.139,1.3151,21.3444,4.2444
1948,11,26,98.64,1.119,7.0476,24.9056,12.9889
1948,11,27,12.11,1.1,17.902,23.0944,11.8444
1948,11,28,19.05,1.081,21.6775,23.3444,9.6833
1948,11,29,0.01,1.063,19.3178,14.4778,2.7667
1948,11,30,0,1.045,12.931,14.25,0.0278
1948,12,1,0,1.028,6.4498,16.5167,0.5944
1948,12,2,0,1.012,2.6491,19.3333,3.8167
1948,12,3,0,0.996,1.3969,20.8667,6.9667
1948,12,4,0.83,0.981,1.0068,21.6778,5.9167
1948,12,5,0.75,0.966,0.8463,22.8667,9.3167
1948,12,6,17.41,0.952,0.7425,19.4278,2.4722
1948,12,7,9.79,0.938,4.2789,19.3056,4.6222
1948,12,8,10.16,0.925,10.7916,19.3667,4.4278
1948,12,9,0,0.913,7.2363,18.2278,4.1056
1948,12,10,0,0.901,3.3979,15.4056,0.2056
1948,12,11,0,0.89,1.6769,18.1722,0.4944
1948,12,12,0,0.879,1.0068,22.5333,7.7111
1948,12,13,0.44,0.869,0.7866,23.7056,12.7
1948,12,14,0,0.86,0.6859,24.5,16.25
1948,12,15,0.01,0.851,0.6104,26.1056,18.4667
1948,12,16,51.85,0.843,2.0325,24.9,17.8333
1948,12,17,7.39,0.836,8.9353,23.3556,14.7778
1948,12,18,1.38,0.829,14.9446,19.4667,14.2833
1948,12,19,0.96,0.822,21.6775,18.0889,11.7333
